m is 100
  i   S
-------
  0   0
  1   1
  2   3
  3   4
  4   5
  5   7
  6   9
  7  16
  8  25
  9  36
 10  81
  13    3    5
  13    4    4
  13    5   11
  13    6   11
  13    7   11
  13    8   11
  13    9   11
  13   10   11
  14    1   11
  14    2    6
  14    3    5
  14    4   11
  14    5   11
  14    6   11
  14    7   11
  14    8   11
  14    9   11
  14   10   11
  15    1   11
  15    2   11
  15    3    5
  15    4    5
  15    5   11
  15    6   11
  15    7   11
  15    8   11
  15    9   11
  15   10   11
  16    1    7
  16    2    6
  16    3    5
  16    4    5
  16    5   11
  16    6   11
  16    7   11
  16    8   11
  16    9   11
  16   10   11
  17    1   11
  17    2    7
  17    3    6
  17    4    5
  17    5   11
  17    6   11
  17    7   11
  17    8   11
  17    9   11
  17   10   11
  18    1   11
  18    2   11
  18    3    6
  18    4    6
  18    5   11
  18    6   11
  18    7   11
  18    8   11
  18    9   11
  18   10   11
  19    1   11
  19    2    7
  19    3    6
  19    4    5
  19    5   11
  19    6   11
  19    7   11
  19    8   11
  19    9   11
  19   10   11
  20    1   11
  20    2    7
  20    3    6
  20    4    6
  20    5    5
  20    6   11
  20    7   11
  20    8   11
  20    9   11
  20   10   11
  21    1   11
  21    2    7
  21    3    6
  21    4    6
  21    5   11
  21    6   11
  21    7   11
  21    8   11
  21    9   11
  21   10   11
  22    1   11
  22    2   11
  22    3    7
  22    4    6
  22    5    6
  22    6   11
  22    7   11
  22    8   11
  22    9   11
  22   10   11
  23    1   11
  23    2    7
  23    3    7
  23    4    6
  23    5   11
  23    6   11
  23    7   11
  23    8   11
  23    9   11
  23   10   11
  24    1   11
  24    2   11
  24    3    7
  24    4    6
  24    5    6
  24    6   11
  24    7   11
  24    8   11
  24    9   11
  24   10   11
  25    1    8
  25    2    7
  25    3    7
  25    4    6
  25    5    6
  25    6   11
  25    7   11
  25    8   11
  25    9   11
  25   10   11
  26    1   11
  26    2    8
  26    3    7
  26    4    7
  26    5    6
  26    6   11
  26    7   11
  26    8   11
  26    9   11
  26   10   11
  27    1   11
  27    2   11
  27    3    7
  27    4    7
  27    5   11
  27    6   11
  27    7   11
  27    8   11
  27    9   11
  27   10   11
  28    1   11
  28    2    8
  28    3    7
  28    4    7
  28    5    6
  28    6   11
  28    7   11
  28    8   11
  28    9   11
  28   10   11
  29    1   11
  29    2    8
  29    3    7
  29    4    7
  29    5    7
  29    6    6
  29    7   11
  29    8   11
  29    9   11
  29   10   11
  30    1   11
  30    2    8
  30    3    7
  30    4    7
  30    5   11
  30    6   11
  30    7   11
  30    8   11
  30    9   11
  30   10   11
  31    1   11
  31    2   11
  31    3    8
  31    4    7
  31    5    7
  31    6   11
  31    7   11
  31    8   11
  31    9   11
  31   10   11
  32    1   11
  32    2    8
  32    3    7
  32    4    7
  32    5    7
  32    6   11
  32    7   11
  32    8   11
  32    9   11
  32   10   11
  33    1   11
  33    2   11
  33    3    8
  33    4    7
  33    5    7
  33    6   11
  33    7   11
  33    8   11
  33    9   11
  33   10   11
  34    1   11
  34    2    8
  34    3    8
  34    4    7
  34    5    7
  34    6   11
  34    7   11
  34    8   11
  34    9   11
  34   10   11
  35    1   11
  35    2   11
  35    3    8
  35    4    7
  35    5    7
  35    6   11
  35    7   11
  35    8   11
  35    9   11
  35   10   11
  36    1    9
  36    2   11
  36    3    8
  36    4    7
  36    5    7
  36    6    7
  36    7   11
  36    8   11
  36    9   11
  36   10   11
  37    1   11
  37    2    9
  37    3    8
  37    4    7
  37    5    7
  37    6   11
  37    7   11
  37    8   11
  37    9   11
  37   10   11
  38    1   11
  38    2   11
  38    3    8
  38    4    8
  38    5    7
  38    6    7
  38    7   11
  38    8   11
  38    9   11
  38   10   11
  39    1   11
  39    2    9
  39    3    8
  39    4    8
  39    5    7
  39    6   11
  39    7   11
  39    8   11
  39    9   11
  39   10   11
  40    1   11
  40    2    9
  40    3    9
  40    4    8
  40    5    7
  40    6    7
  40    7   11
  40    8   11
  40    9   11
  40   10   11
  41    1   11
  41    2    8
  41    3    8
  41    4    8
  41    5    7
  41    6    7
  41    7   11
  41    8   11
  41    9   11
  41   10   11
  42    1   11
  42    2   11
  42    3    8
  42    4    8
  42    5    8
  42    6    7
  42    7   11
  42    8   11
  42    9   11
  42   10   11
  43    1   11
  43    2    9
  43    3    9
  43    4    8
  43    5    8
  43    6   11
  43    7   11
  43    8   11
  43    9   11
  43   10   11
  44    1   11
  44    2   11
  44    3    8
  44    4    8
  44    5    8
  44    6    7
  44    7   11
  44    8   11
  44    9   11
  44   10   11
  45    1   11
  45    2    9
  45    3    8
  45    4    8
  45    5    8
  45    6    8
  45    7    7
  45    8   11
  45    9   11
  45   10   11
  46    1   11
  46    2   11
  46    3    8
  46    4    8
  46    5    8
  46    6   11
  46    7   11
  46    8   11
  46    9   11
  46   10   11
  47    1   11
  47    2   11
  47    3    9
  47    4    8
  47    5    8
  47    6    8
  47    7   11
  47    8   11
  47    9   11
  47   10   11
  48    1   11
  48    2   11
  48    3    8
  48    4    8
  48    5    8
  48    6   11
  48    7   11
  48    8   11
  48    9   11
  48   10   11
  49    1   11
  49    2   11
  49    3    9
  49    4    8
  49    5    8
  49    6    8
  49    7   11
  49    8   11
  49    9   11
  49   10   11
  50    1   11
  50    2   11
  50    3    8
  50    4    8
  50    5    8
  50    6    8
  50    7   11
  50    8   11
  50    9   11
  50   10   11
  51    1   11
  51    2   11
  51    3   11
  51    4    8
  51    5    8
  51    6    8
  51    7   11
  51    8   11
  51    9   11
  51   10   11
  52    1   11
  52    2    9
  52    3    9
  52    4    8
  52    5    8
  52    6   11
  52    7   11
  52    8   11
  52    9   11
  52   10   11
  53    1   11
  53    2   11
  53    3    9
  53    4    8
  53    5    8
  53    6    8
  53    7   11
  53    8   11
  53    9   11
  53   10   11
  54    1   11
  54    2   11
  54    3   11
  54    4    8
  54    5    8
  54    6    8
  54    7    8
  54    8   11
  54    9   11
  54   10   11
  55    1   11
  55    2   11
  55    3    9
  55    4    8
  55    5    8
  55    6   11
  55    7   11
  55    8   11
  55    9   11
  55   10   11
  56    1   11
  56    2   11
  56    3    9
  56    4    9
  56    5    8
  56    6    8
  56    7   11
  56    8   11
  56    9   11
  56   10   11
  57    1   11
  57    2   11
  57    3    9
  57    4    8
  57    5    8
  57    6    8
  57    7   11
  57    8   11
  57    9   11
  57   10   11
  58    1   11
  58    2   11
  58    3   11
  58    4    9
  58    5    8
  58    6    8
  58    7   11
  58    8   11
  58    9   11
  58   10   11
  59    1   11
  59    2   11
  59    3    9
  59    4    9
  59    5    8
  59    6    8
  59    7   11
  59    8   11
  59    9   11
  59   10   11
  60    1   11
  60    2   11
  60    3   11
  60    4    9
  60    5    8
  60    6    8
  60    7   11
  60    8   11
  60    9   11
  60   10   11
  61    1   11
  61    2    9
  61    3    9
  61    4    9
  61    5    8
  61    6    8
  61    7    8
  61    8   11
  61    9   11
  61   10   11
  62    1   11
  62    2   11
  62    3    9
  62    4    9
  62    5    8
  62    6    8
  62    7   11
  62    8   11
  62    9   11
  62   10   11
  63    1   11
  63    2   11
  63    3   11
  63    4    9
  63    5    9
  63    6    8
  63    7    8
  63    8   11
  63    9   11
  63   10   11
  64    1   11
  64    2   11
  64    3    9
  64    4    9
  64    5    9
  64    6    8
  64    7   11
  64    8   11
  64    9   11
  64   10   11
  65    1   11
  65    2   11
  65    3    9
  65    4    9
  65    5    9
  65    6    8
  65    7    8
  65    8   11
  65    9   11
  65   10   11
  66    1   11
  66    2   11
  66    3    9
  66    4    9
  66    5    9
  66    6    8
  66    7    8
  66    8   11
  66    9   11
  66   10   11
  67    1   11
  67    2   11
  67    3   11
  67    4    9
  67    5    9
  67    6    9
  67    7    8
  67    8   11
  67    9   11
  67   10   11
  68    1   11
  68    2   11
  68    3    9
  68    4    9
  68    5    9
  68    6    9
  68    7   11
  68    8   11
  68    9   11
  68   10   11
  69    1   11
  69    2   11
  69    3   11
  69    4    9
  69    5    9
  69    6    9
  69    7    8
  69    8   11
  69    9   11
  69   10   11
  70    1   11
  70    2   11
  70    3    9
  70    4    9
  70    5    9
  70    6    9
  70    7   11
  70    8    8
  70    9   11
  70   10   11
  71    1   11
  71    2   11
  71    3   11
  71    4    9
  71    5    9
  71    6    9
  71    7   11
  71    8   11
  71    9   11
  71   10   11
  72    1   11
  72    2   11
  72    3   11
  72    4    9
  72    5    9
  72    6    9
  72    7    9
  72    8   11
  72    9   11
  72   10   11
  73    1   11
  73    2   11
  73    3   11
  73    4    9
  73    5    9
  73    6    9
  73    7   11
  73    8   11
  73    9   11
  73   10   11
  74    1   11
  74    2   11
  74    3   11
  74    4    9
  74    5    9
  74    6    9
  74    7    9
  74    8   11
  74    9   11
  74   10   11
  75    1   11
  75    2   11
  75    3   11
  75    4    9
  75    5    9
  75    6    9
  75    7   11
  75    8   11
  75    9   11
  75   10   11
  76    1   11
  76    2   11
  76    3   11
  76    4   11
  76    5    9
  76    6    9
  76    7    9
  76    8   11
  76    9   11
  76   10   11
  77    1   11
  77    2   11
  77    3    9
  77    4    9
  77    5    9
  77    6    9
  77    7    9
  77    8   11
  77    9   11
  77   10   11
  78    1   11
  78    2   11
  78    3   11
  78    4    9
  78    5    9
  78    6    9
  78    7    9
  78    8   11
  78    9   11
  78   10   11
  79    1   11
  79    2   11
  79    3   11
  79    4   11
  79    5    9
  79    6    9
  79    7   11
  79    8   11
  79    9   11
  79   10   11
  80    1   11
  80    2   11
  80    3   11
  80    4    9
  80    5    9
  80    6    9
  80    7    9
  80    8   11
  80    9   11
  80   10   11
  81    1   10
  81    2   11
  81    3   11
  81    4    9
  81    5    9
  81    6    9
  81    7    9
  81    8    9
  81    9   11
  81   10   11
  82    1   11
  82    2   10
  82    3   11
  82    4    9
  82    5    9
  82    6    9
  82    7   11
  82    8   11
  82    9   11
  82   10   11
  83    1   11
  83    2   11
  83    3   11
  83    4   11
  83    5    9
  83    6    9
  83    7    9
  83    8   11
  83    9   11
  83   10   11
  84    1   11
  84    2   10
  84    3   11
  84    4    9
  84    5    9
  84    6    9
  84    7   11
  84    8   11
  84    9   11
  84   10   11
  85    1   11
  85    2   10
  85    3   10
  85    4   11
  85    5    9
  85    6    9
  85    7    9
  85    8   11
  85    9   11
  85   10   11
  86    1   11
  86    2   10
  86    3   10
  86    4    9
  86    5    9
  86    6    9
  86    7    9
  86    8   11
  86    9   11
  86   10   11
  87    1   11
  87    2   11
  87    3   10
  87    4   11
  87    5    9
  87    6    9
  87    7    9
  87    8   11
  87    9   11
  87   10   11
  88    1   11
  88    2   10
  88    3   10
  88    4   11
  88    5    9
  88    6    9
  88    7   11
  88    8   11
  88    9   11
  88   10   11
  89    1   11
  89    2   11
  89    3   10
  89    4   10
  89    5    9
  89    6    9
  89    7    9
  89    8   11
  89    9   11
  89   10   11
  90    1   11
  90    2   10
  90    3   10
  90    4   10
  90    5    9
  90    6    9
  90    7    9
  90    8    9
  90    9   11
  90   10   11
  91    1   11
  91    2   11
  91    3   10
  91    4   10
  91    5    9
  91    6    9
  91    7   11
  91    8   11
  91    9   11
  91   10   11
  92    1   11
  92    2   11
  92    3   10
  92    4   10
  92    5   11
  92    6    9
  92    7    9
  92    8   11
  92    9   11
  92   10   11
  93    1   11
  93    2   11
  93    3   10
  93    4   10
  93    5    9
  93    6    9
  93    7    9
  93    8   11
  93    9   11
  93   10   11
  94    1   11
  94    2   11
  94    3   10
  94    4   10
  94    5   10
  94    6    9
  94    7    9
  94    8   11
  94    9   11
  94   10   11
  95    1   11
  95    2   11
  95    3   10
  95    4   10
  95    5   11
  95    6    9
  95    7    9
  95    8   11
  95    9   11
  95   10   11
  96    1   11
  96    2   11
  96    3   11
  96    4   10
  96    5   10
  96    6    9
  96    7    9
  96    8   11
  96    9   11
  96   10   11
  97    1   11
  97    2   10
  97    3   10
  97    4   10
  97    5   10
  97    6    9
  97    7    9
  97    8    9
  97    9   11
  97   10   11
  98    1   11
  98    2   11
  98    3   10
  98    4   10
  98    5   10
  98    6    9
  98    7    9
  98    8   11
  98    9   11
  98   10   11
  99    1   11
  99    2   11
  99    3   11
  99    4   10
  99    5   10
  99    6   11
  99    7    9
  99    8    9
  99    9   11
  99   10   11
 100    1   11
 100    2   11
 100    3   10
 100    4   10
 100    5   10
 100    6   11
 100    7    9
 100    8   11
 100    9   11
 100   10   11
No solution with 1 elements
No solution with 2 elements
Solution with 3 elements
  i   S
-------
 10  81
  7  16
  2   3
Solution with 4 elements
  i   S
-------
 10  81
  6   9
  5   7
  2   3
Solution with 5 elements
  i   S
-------
 10  81
  5   7
  4   5
  3   4
  2   3
No solution with 6 elements
Solution with 7 elements
  i   S
-------
  9  36
  8  25
  7  16
  6   9
  5   7
  3   4
  2   3
No solution with 8 elements
No solution with 9 elements
No solution with 10 elements
